FileName: 185skiis-template.bmp, datasize: 810054.0, network3g:3 , method: def0, energy: CPU_EC: 599 Wifi_EC: 5578Total: 6177
FileName: 0001_259.jpg, datasize: 628254.0, network3g:3 , method: def0, energy: CPU_EC: 776 Wifi_EC: 7315Total: 8091
FileName: 10-cougar1.bmp, datasize: 540178.0, network3g:3 , method: def0, energy: CPU_EC: 946 Wifi_EC: 9796Total: 10742
FileName: 0023ae989701101318352d.bmp, datasize: 322554.0, network3g:3 , method: def0, energy: CPU_EC: 1109 Wifi_EC: 10838Total: 11947
FileName: 200_s.gif, datasize: 33042.0, network3g:3 , method: def0, energy: CPU_EC: 1149 Wifi_EC: 11536Total: 12685
FileName: 221.bmp, datasize: 921654.0, network3g:3 , method: def0, energy: CPU_EC: 1347 Wifi_EC: 14316Total: 15663
FileName: 800px-Ocean_dumping_of_radioactive_waste_in_Atlantic_Ocean.png, datasize: 738164.0, network3g:3 , method: def0, energy: CPU_EC: 1532 Wifi_EC: 16050Total: 17582
FileName: 2973ac1a9f996fe733906c3f7bc84779.png, datasize: 2147098.0, network3g:3 , method: def0, energy: CPU_EC: 1854 Wifi_EC: 19509Total: 21363
FileName: 132101970436880.bmp, datasize: 763030.0, network3g:3 , method: def0, energy: CPU_EC: 2594 Wifi_EC: 21243Total: 23837
FileName: 1462610882824795971.gif, datasize: 3059921.0, network3g:3 , method: def0, energy: CPU_EC: 2971 Wifi_EC: 31329Total: 34300
FileName: amazing-beautiful-beauty-blue-medium.jpg, datasize: 101915.0, network3g:3 , method: def0, energy: CPU_EC: 3005 Wifi_EC: 32027Total: 35032
FileName: antarctica-km-south-pole-eternal-ice-76968-medium.jpeg, datasize: 63023.0, network3g:3 , method: def0, energy: CPU_EC: 3066 Wifi_EC: 32725Total: 35791
FileName: aoraki-mount-cook-mountain-new-zealand-68695-medium.jpeg, datasize: 80055.0, network3g:3 , method: def0, energy: CPU_EC: 3120 Wifi_EC: 33422Total: 36542
FileName: B-1B-over-the-pacific-ocean-2016052814.png, datasize: 700635.0, network3g:3 , method: def0, energy: CPU_EC: 3392 Wifi_EC: 35506Total: 38898
FileName: b77d48f566d2bdc501eed5da057a7f14.jpg, datasize: 502554.0, network3g:3 , method: def0, energy: CPU_EC: 3599 Wifi_EC: 37245Total: 40844
FileName: Bay-area2.bmp, datasize: 833458.0, network3g:3 , method: def0, energy: CPU_EC: 3789 Wifi_EC: 39678Total: 43467
FileName: bigsavina.bmp, datasize: 656694.0, network3g:3 , method: def0, energy: CPU_EC: 3966 Wifi_EC: 41415Total: 45381
FileName: Black-Mountain-Golf-Club.bmp, datasize: 1536054.0, network3g:3 , method: def0, energy: CPU_EC: 4223 Wifi_EC: 44883Total: 49106
FileName: bobcat_3.bmp, datasize: 842154.0, network3g:3 , method: def0, energy: CPU_EC: 4415 Wifi_EC: 48365Total: 52780
FileName: climbing 2.bmp, datasize: 5760054.0, network3g:3 , method: def0, energy: CPU_EC: 4898 Wifi_EC: 66795Total: 71693
FileName: color.gif, datasize: 642798.0, network3g:3 , method: def0, energy: CPU_EC: 5063 Wifi_EC: 67832Total: 72895
FileName: Cougar.bmp, datasize: 124136.0, network3g:3 , method: def0, energy: CPU_EC: 5136 Wifi_EC: 68528Total: 73664
FileName: crystal-mountain.png, datasize: 334328.0, network3g:3 , method: def0, energy: CPU_EC: 5308 Wifi_EC: 69571Total: 74879
FileName: download (1).jpeg, datasize: 5024.0, network3g:3 , method: def0, energy: CPU_EC: 5328 Wifi_EC: 69920Total: 75248
FileName: download.jpeg, datasize: 8486.0, network3g:3 , method: def0, energy: CPU_EC: 5368 Wifi_EC: 70269Total: 75637
FileName: eagle-heights-mountain.jpg, datasize: 967158.0, network3g:3 , method: def0, energy: CPU_EC: 5566 Wifi_EC: 72001Total: 77567
FileName: Exposed to sky surveying the strand Screenshot.bmp, datasize: 8294454.0, network3g:3 , method: def0, energy: CPU_EC: 6062 Wifi_EC: 94236Total: 100298
FileName: Fish-rain-from-the-sky.gif, datasize: 1961420.0, network3g:3 , method: def0, energy: CPU_EC: 6335 Wifi_EC: 99796Total: 106131
FileName: giphy (1).gif, datasize: 8077805.0, network3g:3 , method: def0, energy: CPU_EC: 6818 Wifi_EC: 120984Total: 127802
FileName: giphy.gif, datasize: 1120184.0, network3g:3 , method: def0, energy: CPU_EC: 7084 Wifi_EC: 124127Total: 131211
FileName: Hovenweep-featured-700px-460px.png, datasize: 530975.0, network3g:3 , method: def0, energy: CPU_EC: 7297 Wifi_EC: 125166Total: 132463
FileName: images (1).jpeg, datasize: 3973.0, network3g:3 , method: def0, energy: CPU_EC: 7317 Wifi_EC: 125864Total: 133181
FileName: images (1).png, datasize: 3456.0, network3g:3 , method: def0, energy: CPU_EC: 7337 Wifi_EC: 126213Total: 133550
FileName: images (2).jpeg, datasize: 9492.0, network3g:3 , method: def0, energy: CPU_EC: 7371 Wifi_EC: 126562Total: 133933
FileName: images (3).jpeg, datasize: 9123.0, network3g:3 , method: def0, energy: CPU_EC: 7391 Wifi_EC: 126911Total: 134302
FileName: images (4).jpeg, datasize: 5917.0, network3g:3 , method: def0, energy: CPU_EC: 7432 Wifi_EC: 127260Total: 134692
FileName: images (5).jpeg, datasize: 8324.0, network3g:3 , method: def0, energy: CPU_EC: 7445 Wifi_EC: 127609Total: 135054
